country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",05-04-2026 08:00,28.636429,77.201067,PM2.5,88,311,183
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-04-2026 08:00,28.56789,77.250515,NH3,3,17,10
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-04-2026 08:00,28.732528,77.11992,NO2,6,100,33
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",05-04-2026 08:00,28.57834,77.184,NO2,9,9,9
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",05-04-2026 08:00,21.755417,72.139056,SO2,3,10,7
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",05-04-2026 08:00,21.755417,72.139056,CO,100,107,106
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",05-04-2026 08:00,23.163798,72.677768,SO2,9,20,14
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",05-04-2026 08:00,23.243639,72.68994,NH3,5,10,6
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",05-04-2026 08:00,23.023389,72.515201,PM10,27,74,48
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",05-04-2026 08:00,23.023389,72.515201,NO2,6,18,9
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",05-04-2026 08:00,23.076793,72.627874,CO,6,76,36
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",05-04-2026 08:00,22.977134,72.553024,PM2.5,18,239,78
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",05-04-2026 08:00,22.977134,72.553024,NO2,33,147,75
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",05-04-2026 08:00,23.002657,72.591912,PM10,29,184,80
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",05-04-2026 08:00,21.613267,73.010555,PM10,65,100,78
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",05-04-2026 08:00,21.613267,73.010555,NO2,25,25,25
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",05-04-2026 08:00,21.613267,73.010555,NH3,5,5,5
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",05-04-2026 08:00,23.016834,72.625775,SO2,2,111,32
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",05-04-2026 08:00,23.041137,72.456691,NO2,1,38,14
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",05-04-2026 08:00,23.221714,72.654328,PM2.5,17,104,66
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",05-04-2026 08:00,23.221714,72.654328,PM10,37,119,84
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",05-04-2026 08:00,23.041137,72.456691,NH3,2,6,4
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",05-04-2026 08:00,23.020509,72.579261,PM2.5,44,251,85
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",05-04-2026 08:00,23.020509,72.579261,OZONE,2,48,9
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",05-04-2026 08:00,21.217779,72.834787,CO,34,42,34
India,Gujarat,Surat,"Science Center, Surat - SMC",05-04-2026 08:00,21.170046,72.795405,NO2,14,16,15
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",05-04-2026 08:00,22.320153,73.216285,PM2.5,49,125,73
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",05-04-2026 08:00,22.320153,73.216285,PM10,57,132,88
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",05-04-2026 08:00,22.320153,73.216285,OZONE,2,7,3
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",05-04-2026 08:00,20.362421,72.918013,NH3,2,4,2
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",05-04-2026 08:00,20.362421,72.918013,OZONE,5,22,5
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",05-04-2026 08:00,22.969611,72.6435,PM2.5,17,324,129
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",05-04-2026 08:00,29.14056,75.744941,CO,NA,NA,NA
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",05-04-2026 08:00,29.8006,76.4155,PM2.5,23,62,41
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",05-04-2026 08:00,29.8006,76.4155,PM10,28,76,50
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",05-04-2026 08:00,29.8006,76.4155,NO2,29,34,32
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",05-04-2026 08:00,29.8006,76.4155,SO2,43,44,44
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",05-04-2026 08:00,29.6953,77.0027,PM2.5,29,285,92
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",05-04-2026 08:00,29.6953,77.0027,SO2,6,11,8
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",05-04-2026 08:00,29.6953,77.0027,CO,12,16,12
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",05-04-2026 08:00,29.966942,76.875879,NH3,6,7,6
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",05-04-2026 08:00,23.59315,72.372792,NH3,2,4,3
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",05-04-2026 08:00,22.410802,73.097923,PM10,72,125,96
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",05-04-2026 08:00,22.410802,73.097923,NO2,13,217,60
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",05-04-2026 08:00,22.248853,70.776774,NH3,1,1,1
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",05-04-2026 08:00,22.248853,70.776774,SO2,10,27,16
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",05-04-2026 08:00,21.217779,72.834787,PM2.5,15,70,39
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",05-04-2026 08:00,21.217779,72.834787,NH3,1,1,1
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",05-04-2026 08:00,28.422681,77.148944,CO,32,64,35
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",05-04-2026 08:00,28.4227,77.0667,PM10,41,372,138
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",05-04-2026 08:00,28.4227,77.0667,CO,8,26,18
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",05-04-2026 08:00,28.4275,77.1465,PM10,NA,NA,NA
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",05-04-2026 08:00,28.4501238,77.0263051,NO2,9,45,26
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",05-04-2026 08:00,28.4501238,77.0263051,SO2,2,8,5
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",05-04-2026 08:00,28.4501238,77.0263051,OZONE,5,31,11
